concepto,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,total 2026,media mensual
INGRESOS,5763.95,2769.9,2772.13,2884.15,116.08,5745.75,2863.58,2878.08,3610.76,29404.38,3267.15
GASTO NETO,804.48,753.36,2727.56,2030.4,1889.78,1833.98,2653.64,5289.31,1269.24,19251.75,2139.08
AHORRO,4959.47,2016.54,44.57,853.75,-1773.7,3911.77,209.94,-2411.23,2341.52,10152.63,1128.07
INVERTIDO,501.08,1501.34,5512.75,1504.72,1208.88,1811.73,1612.49,1202.57,1113.15,15968.71,1774.3
LIQUIDEZ,4458.39,515.2,-5468.18,-650.97,-2982.58,2100.04,-1402.55,-3613.8,1228.37,-5816.08,-646.23
BENEFICIO TRABAJO,5502.11,2493.85,2402.7,2409.63,-284.24,5208.29,2485.94,2555.76,3188.95,25962.99,2884.78
TASA AHORRO,86%,73%,2%,30%,-1528%,68%,7%,-84%,65%,,

"POR CATEGORÍA (gastos netos e inversiones, tu parte)"
ACCIONES,0,0,2808.0,369.14,-96.69,0,702.0,0,501.0,4283.45,475.94
AJUSTES PAREJA,3.8,25.7,2.0,0,0,-554.35,13.5,2243.03,0,1733.68,192.63
ALQUILER,900.0,0,0,600.0,638.83,600.0,645.92,600.0,600.0,4584.75,509.42
CAFÉ,22.95,71.6,89.15,70.25,94.7,39.95,148.53,96.5,20.9,654.53,72.73
CITAS/PAREJA,43.27,36.8,32.25,0,0,0,0,23.0,28.5,163.82,18.2
COMIDA,27.39,210.36,77.81,77.71,219.04,332.96,18.49,207.65,139.5,1310.91,145.66
CRYPTOMONEDAS,501.08,1101.34,500.94,0,0,501.0,0,0,0,2604.36,289.37
DEPORTE,34.99,34.99,104.41,117.15,67.66,101.51,64.11,44.87,144.35,714.04,79.34
EFECTIVO,0,0,0,0,0,0,0,300.0,0,300.0,33.33
FONDOS INDEXADOS / ETF,0,400.0,2203.81,1135.58,1205.57,1210.73,910.49,1202.57,612.15,8880.9,986.77
FORMACIÓN / MENTORÍA,0,0,0,0,100.0,100.0,0,0,0,200.0,22.22
GESTORIA,84.7,84.7,84.7,88.32,84.7,84.7,84.7,84.7,84.7,765.92,85.1
HOGAR,0,0,600.0,11.09,42.11,0,0,214.5,0,867.7,96.41
IMPREVISTOS,62.74,31.81,37.3,125.98,228.43,96.33,83.49,957.74,0,1623.82,180.42
IMPUESTOS,88.56,88.56,209.95,174.59,88.56,211.18,130.38,88.56,146.65,1226.99,136.33
INTERNET,0,0,0,2.58,10.0,10.0,10.0,10.0,0,42.58,4.73
LUZ,0,0,0,0,0,26.55,60.08,43.6,0,130.23,14.47
OCIO,75.31,15.95,51.5,130.8,32.86,399.6,30.0,57.15,5.5,798.67,88.74
PSICOLOGA,30.0,0,0,0,0,0,0,0,140.0,170.0,18.89
REEMBOLSOS,-1931.47,-53.7,-63.98,-39.06,-5.4,-339.62,-123.4,-160.57,-353.0,-3070.2,-341.13
RESTAURANTES,78.92,74.63,254.27,298.51,83.1,234.61,82.74,50.72,33.4,1190.9,132.32
ROPA,0,0,25.99,0,15.0,0,0,0,66.08,107.07,11.9
RUSO,74.09,0,0,0,0,0,0,0,0,74.09,8.23
SALUD,39.24,0,0,0,107.51,45.9,0,22.95,0,215.6,23.96
SIN CATEGORÍA,0,0,0,0,0,63.0,0,0,0,63.0,7.0
SUBSCRIPCIONES,124.53,89.88,59.64,186.12,110.98,218.98,110.98,143.74,180.69,1225.54,136.17
TRABAJO,0,0,716.99,0,0,0,30.0,0,0,746.99,83.0
TRANSPORTE,184.96,42.08,196.31,186.36,71.7,216.81,86.74,116.47,31.97,1133.4,125.93
VIAJES,860.5,0,249.27,0,0,45.87,1177.38,144.7,0,2477.72,275.3

PENDIENTES DE REVISAR,fecha,cuenta,importe,concepto
,2026-03-25,Revolut,-600.0,[Transfer] Bizum payment to: Kateryna S.
,2026-04-11,Revolut,-77.0,[Transfer] Bizum payment to: MARINA.H.L.
,2026-05-19,Trade Republic,-94.0,[Transacción con tarjeta] EL CORTE INGLES-DEPARTAM.
,2026-06-01,Trade Republic,-63.0,[Transacción con tarjeta] SP ZZEN LABS
,2026-07-04,Revolut,-30.0,[Transfer] Bizum payment to: Jordi M.G.
,2026-08-23,Trade Republic,-1673.02,[Transferencia] Outgoing transfer for Kateryna Soltuchenko (ES2615860001472321062211)
,2026-08-25,Trade Republic,-32.99,"[Recibos domiciliados] Sepa Direct Debit transfer to CENTRO DE SEGUROS Y SERVICIOS ECI, S.A. (ES5600491500062519348047)"
,2026-08-27,Trade Republic,-355.51,[Transferencia] Outgoing transfer for Kateryna Soltuchenko (ES2615860001472321062211)
,2026-08-28,Trade Republic,-853.99,[Transacción con tarjeta] MEDIA MARKT ONLINE

Generado,2026-09-18 14:09,Dashboard,https://finanzas-kappa-gold.vercel.app
